Datum;AT0010000000000000001000012258940 (1201736728) - Verbrauch [kWh]
22.02.24;13,721
23.02.24;10,621
24.02.24;14,961
25.02.24;12,67
26.02.24;15,534
27.02.24;11,667
28.02.24;10,249
29.02.24;14,436
01.03.24;11,805
02.03.24;16,14
03.03.24;15,157
04.03.24;18,671
05.03.24;8,33
06.03.24;11,311
07.03.24;13,423
08.03.24;12,729
09.03.24;
10.03.24;
11.03.24;
12.03.24;
13.03.24;11,254
14.03.24;8,11
15.03.24;7,366
16.03.24;7,795
17.03.24;11,392
18.03.24;7,977
19.03.24;12,691
20.03.24;17,031
21.03.24;10,651
22.03.24;9,316
23.03.24;10,628
24.03.24;10,481
25.03.24;14,924
26.03.24;8,165
27.03.24;10,373
28.03.24;8,217
29.03.24;4,442
30.03.24;1,457
31.03.24;3,534
01.04.24;7,579
02.04.24;9,84
03.04.24;7,492
04.04.24;7,369
05.04.24;5,108
06.04.24;1,57
07.04.24;2,718
08.04.24;6,165
09.04.24;6,307
10.04.24;8,788
11.04.24;5,386
12.04.24;5,362
13.04.24;7,125
14.04.24;8,397
15.04.24;4,216
16.04.24;4,357
17.04.24;4,256
18.04.24;10,514
19.04.24;4,161
20.04.24;2,7
21.04.24;5,85
22.04.24;18,375
23.04.24;15,494
24.04.24;9,174
25.04.24;12,154
26.04.24;8,585
27.04.24;7,545
28.04.24;6,376
29.04.24;5,084
30.04.24;8,714
01.05.24;6,785
02.05.24;5,228
03.05.24;6,131
04.05.24;6,4
05.05.24;9,812
06.05.24;7,913
07.05.24;4,838
08.05.24;6,55
09.05.24;6,011
10.05.24;5,249
11.05.24;4,977
12.05.24;7,285
13.05.24;4,8
14.05.24;5,218
15.05.24;3,636
16.05.24;4,5
17.05.24;5,529
18.05.24;1,155
19.05.24;2,104
20.05.24;5,524
21.05.24;4,202
22.05.24;5,822
23.05.24;4,776
24.05.24;4,51
25.05.24;5,082
26.05.24;5,567
27.05.24;3,331
28.05.24;4,014
29.05.24;3,109
30.05.24;8,121
31.05.24;3,495
01.06.24;5,435
02.06.24;6,711
03.06.24;5,507
04.06.24;4,213
05.06.24;4,683
06.06.24;3,83
07.06.24;4,645
08.06.24;4,274
09.06.24;8,226
10.06.24;3,581
11.06.24;5,452
12.06.24;4,723
13.06.24;4,196
14.06.24;3,875
15.06.24;4,124
16.06.24;5,862
17.06.24;3,606
18.06.24;4,908
19.06.24;3,619
20.06.24;2,628
21.06.24;2,626
22.06.24;4,824
23.06.24;6,993
24.06.24;2,852
25.06.24;5,307
26.06.24;3,762
27.06.24;3,301
28.06.24;2,254
29.06.24;6,753
30.06.24;3,129
01.07.24;4,912
02.07.24;4,641
03.07.24;5,279
04.07.24;6,152
05.07.24;2,897
06.07.24;7,183
07.07.24;7,826
08.07.24;4,077
09.07.24;4,841
10.07.24;1,364
11.07.24;1,866
12.07.24;1,845
13.07.24;4,944
14.07.24;6,396
15.07.24;3,353
16.07.24;5,371
17.07.24;6,375
18.07.24;4,744
19.07.24;5,251
20.07.24;5,759
21.07.24;7,569
22.07.24;0,418
23.07.24;0,792
24.07.24;0,888
25.07.24;0,81
26.07.24;0,843
27.07.24;0,898
28.07.24;0,99
29.07.24;0,885
30.07.24;0,498
31.07.24;1,214
01.08.24;0,527
02.08.24;1,751
03.08.24;1,6
04.08.24;2,747
05.08.24;4,455
06.08.24;3,29
07.08.24;3,796
08.08.24;0,666
09.08.24;1,184
10.08.24;0,732
11.08.24;1,089
12.08.24;0,774
13.08.24;0,852
14.08.24;0,724
15.08.24;1,079
16.08.24;0,797
17.08.24;0,789
18.08.24;0,707
19.08.24;0,764
20.08.24;0,712
21.08.24;1,122
22.08.24;0,765
23.08.24;0,794
24.08.24;0,843
25.08.24;4,272
26.08.24;9,38
27.08.24;5,931
28.08.24;8,466
29.08.24;4,223
30.08.24;4,287
31.08.24;6,812
01.09.24;5,07
02.09.24;5,416
03.09.24;4,128
